KEGG,G7_1,G7_2,G7_3,G7_4,G7_5,G7_6
C09364,15045463.29,7137051.037,10429715.93,11821747.3,10510203.5,9287544.442
C02134,17376133.94,20377677.39,18401811.8,15957373.01,16584357.05,12069118.71
C15530,36020315.8,22585193.64,14135177.82,18468492.07,20354047.25,16893801.78
C10245,103522.1504,187211.3587,433816.5714,340858.3984,504253.3651,1446634.149
C17064,50914872.71,35667216.59,35026024.37,40471088.29,60116186.88,43826425.07
C04608,8892000.419,8673507.434,9128827.498,10275027.32,8347177.578,10301536.91
C17615,1086800.686,1225591.677,1137845.23,1345989.131,2444214.895,1200133.021
C01585,177571552.9,394299498.3,137986333.8,323415923.8,517875550.6,116495163.7
C00666,9135324.044,1934201.643,1885136.771,2048586.384,1544312.579,1318283.639
C06414,2573680.274,2956871.612,3261671.492,3015401.761,3306505.549,2665817.495
C00493,9930076.77,11818321.34,6971773.641,7388853.702,6987304.084,8695740.465
C03145,1759395.523,1927624.362,1692919.487,1822237.584,1980567.563,1357399.935
C07480,511228.4896,449826.7342,886051.2032,560535.8061,645165.3716,417717.9563
C05926,1488616.901,3222203.352,1692489.49,2356588.861,1902515.22,1226332.018
C05488,942794.2986,1134842.304,548293.481,884012.1862,606087.8372,584566.8495
C03766,1940210.749,1536525.136,1544986.647,1536332.251,1604424.817,1317003.408
C09263,3925196.541,2973562.811,2686611.737,2656798.513,4868576.819,2288559.191
C19415,23098236.76,23029437.21,16250402.03,19186688.8,14790480.84,16381277.29
C06662,1293746.489,1263824.239,982054.1372,974960.9468,935463.9018,1010965.256
C03884,1370039.9,1034192.545,625953.3912,633892.3723,657620.817,675821.8631
C08491,1745757.207,637291.3494,7179324.732,2585517.991,2925603.086,4003290.293
C00251,9999281.588,9374900.273,10798080.38,14412869.34,13935248.98,14584443.7
C14229,172337.4619,223692.2094,234252.5076,210642.3246,217551.6089,152585.2093
C10312,34955091.45,33278139.58,52314875.68,42303042.68,39565922.99,31821977.47
C07443,678680.58,521032.0187,479263.7288,510091.9008,524672.8502,511499.322
C06997,19058780.17,22706797.51,23545131.44,26223745.06,31262304.31,21268630.04
C14404,496308.5592,392177.0491,448356.8525,511010.5051,651319.5318,394862.5456
C07318,8680360.198,6678261.994,11006386.34,10979282.2,8292044.372,6878191.355
C11169,990251.1176,1791896.163,1212019.597,1319561.14,1068688.555,1423989.912
C03406,101706.1559,80078.13302,78049.00914,99372.91561,97100.70129,96810.30676
C19039,46188279.9,38121795.81,27985800.56,40082954.83,24320683.43,12826712.31
C18659,366131.5546,398907.167,475094.2981,595052.4864,454411.9451,367569.4542
C07110,415016.0337,320997.5226,324264.986,308443.9247,309665.1885,316998.2205
C06939,3178004.016,1037484.217,773106.2623,891107.0287,1135641.642,1085172.702
C03299,12800200.31,8997996.08,6976169.26,6820706.168,7453165.98,7706572.116
C18166,275595.2234,1302193.085,1421703.031,1735334.823,1203185.331,1084931.13
C07630,267945.0043,127159.0927,108471.7454,129860.5347,170973.6392,112319.244
C06897,1441199.719,1396296.025,2142129.199,1699735.531,1625359.462,1540423.322
C08126,374076.1356,351170.451,355391.0011,358371.4799,377849.0114,343134.2693
C07508,136372.1605,203334.4254,87799.46718,150373.9198,150502.4331,129122.3541
C08357,348916.5835,153159.7719,82214.35877,422362.9339,427958.2415,414239.8773
C09024,24643.80758,617199.6408,60479.43507,375337.2306,439860.4733,270330.919
C16417,464112.644,759645.1668,282708.0266,353944.9724,185046.9734,411953.9185
C06835,334763.0695,269097.0854,263950.1419,291761.5697,276489.8548,274875.6601
C10443,239127.7089,99247.06821,74132.68725,28612.40159,23436.43478,54469.8782
C04671,182005.9986,214794.6922,160503.8041,139701.3153,223687.4507,199567.9314
C11125,788399.093,923621.7369,546289.112,726422.4881,538601.6173,632181.6033
C05961,207281.8554,1107286.019,964402.8731,859027.5186,1455361.981,1833927.504
C07339,31328.02373,49389.6551,158308.0143,74300.37478,66066.46604,142437.2913
C08173,63060.05839,3534064.283,9792691.714,3764796.217,3729406.133,3623038.263
C07317,8523285.602,15720441.05,24151384.76,21369871.44,16044206.33,18287369.17
C10874,1032065.134,320708.7307,840479.0847,666331.1242,651999.2236,530285.6632
C07267,915847.82,1851559.418,1019379.477,826289.7252,937786.1294,659835.1731
C10915,1101731.574,1187047.986,2096994.521,1787216.167,1713850.324,1261625.873
C07398,57434.7386,47800.78646,320649.3666,342649.3934,73305.43387,324578.0379
C07188,2283675.228,30379477.63,16211819.49,15059292.28,12853765.28,15122645.75
C01626,379243.1229,4619648.666,1247958.112,445399.891,1639798.838,409038.0184
C07225,21079680.27,21960940.76,20379980.87,19819090.86,15587179.59,10350109.84
C09668,1471600.569,480404.5837,1793172.194,1257788.685,1121677.998,861347.8379
C07007,757416.2387,2173205.819,1429693.743,1651490.294,1758110.589,2096806.426
C18430,84082.15552,477656.4614,377408.0567,344451.6741,274443.7075,148397.0441
C10018,1291167.808,3628122.346,4619615.225,4027722.594,3703144.714,3726592.501
C00044,146225.9092,210928.8124,194695.0529,228771.1854,197285.9534,227467.8118
C12661,989075.4159,1989807.222,1358621.936,661616.1579,1646876.127,987555.71
C10048,653930.4502,582551.7378,324392.1415,267837.1087,377309.8527,319145.3996
C09929,7646372.381,10449159.06,9310808.7,8201567.944,23052226.66,10495583.79
C11153,3041005.674,3566990.042,1879667.661,2180578.794,2888253.5,1699630.786
C01050,166047.1586,131656.5158,351865.4783,274646.4748,70505.32912,396415.8564
C03069,273709.7038,174462.1803,206949.4153,204870.862,233836.7596,89178.72381
C00527,916119.4435,5317252.016,965679.9635,2019312.115,1667311.244,633383.6089
C01832,70608.27003,100039.5413,85827.05328,112529.3348,136408.6613,97183.6532
C01936,24886.33342,74354.14736,36376.7319,49065.00797,43925.26269,41123.7944
C00123,7307188.78,8028665.419,8985248.251,13287382.4,13051228.02,7976404.83
C06562,104317406.5,98944812.48,81899433.34,100204068.6,113502061.1,73207422.91
C00500,22752.1724,32683.98857,99781.32003,202401.5574,170666.187,187657.0645
C07610,3799915.524,2937521.615,3329592.626,3741571.076,2817090.677,2799290.729
C20788,14404952.86,17011747.53,10511695.62,12682886.81,9853875.615,10179609.04
C05822,1914859.524,1938623.344,1889990.316,1877210.473,1440942.962,1851892.195
C07321,418391.4592,443175.3563,550259.914,484658.553,451177.601,496640.9294
C10645,756368.9829,714340.5459,453379.8355,572128.5535,366617.6167,487999.3735
C00206,184836.1113,226507.5498,139047.099,156489.4727,127886.819,180033.9634
C19952,63748.21678,806250.4811,1052858.572,550326.7502,2070982.754,3242940.63
C18809,1536474.955,1715545.194,1955864.676,697924.8332,2201511.78,1761156.23
C10437,11374663.69,7243817.642,6033879.592,6587615.739,5413043.46,5778164.141
C07813,521363.2525,2873511.716,1957603.713,2210525.469,2001030.522,2342405.282
C16641,46478.33092,54975.49229,46500.02258,53933.89497,206948.6721,244484.717
C17674,157082.142,125353.4956,711928.8132,686817.1274,787357.3,723880.9535
C03248,1378300.877,1336375.396,1205623.486,1251591.804,1457810.409,1199001.378
C02500,2439300.236,1913153.89,1595758.425,1872957.378,1625153.994,1935523.252
C02129,31805672.79,20201338.29,18382748.41,19168877.08,17059624.95,21129455.81
C02480,15052337.83,17207973.18,18445608.52,13222968.83,19931847.88,19993206.47
C03057,474566.4542,219636.3818,220049.4767,270015.8976,232207.9662,188981.273
C11150,2706528.963,3038299.356,2976327.474,2410353.374,2350513.474,2877826.254
C13014,7514937.973,7422404.547,5366746.412,6638799.585,6264805.801,7173440.288
C05410,3040553.436,12665240.67,5581308.082,5182670.633,5695824.586,4488995.821
C19180,5764078.827,7589746.03,5952294.541,4863755.518,4768385.098,4427860.867
C07491,3313357.393,1304721.675,1235632.787,4436333.989,3071811.205,2938538.475
C18782,261080.795,244564.506,183131.2275,204045.0876,142405.5339,164031.2774
C02147,150792767.1,125622864.7,108558463.1,133289166.4,118517516.9,136355191
C09049,6702412.78,3629852.077,3047961.119,5140401.532,4853893.978,3032318.888
C18869,997957.8544,1130255.105,232725.1034,82677.20479,99081.47599,77872.12651
C04037,2431407.161,1116729.779,1157880.947,1159711.866,1363971.225,1199524.78
C16626,623546.8142,776067.411,728753.3175,829883.7757,614676.2321,676513.6766
C10029,136571.7148,142629.9162,162142.7087,156149.6846,152883.5644,146744.2791
C18599,243637.4725,457796.2822,244088.5295,272060.8293,254062.1507,231142.9153
C16522,25842704.63,23339166.6,49595468.62,26145126.49,37695647.39,30929968.89
C09365,504117.7024,1210768.177,467730.8074,791085.9501,561485.9004,443376.4471
C07543,57544.2889,510828.1452,168271.5041,201959.7492,232589.2576,220158.2392
C06196,1969564.135,1427473.259,1559201.935,1247659.238,270252.1862,875746.4846
C16805,1142511.439,989661.7243,538310.3306,476319.5051,604648.3166,555961.956
C17595,842344.1699,1167386.461,805250.1909,1188658.833,943636.483,1109415.24
C17058,331137.3906,1515797.289,385388.2838,267384.4482,197069.463,1216205.699
C06974,1751246.345,2149632.296,1775166.675,2033490.31,1916106.272,1722533.092
C08412,469431.3828,443820.5,430827.8842,554424.334,376241.4333,381491.0863
C09011,1338929.039,1041920.116,1030087.261,977420.1167,1141453.254,550631.0159
C10535,9604044.756,5969902.812,5158870.46,4570691.822,4989463.252,5505416.133
C03514,432364.8063,1003954.057,902429.213,908200.9154,653327.6645,511673.6925
C08424,562124.4919,900577.4555,650963.6666,816193.7071,602589.3522,797200.2273
C18596,85649.16036,115269.0533,621426.6847,35415.42715,237338.4577,223800.8253
C06889,11543768.94,14200182.09,15466377.94,8649499.803,14398043.61,11177502.13
C09793,14941680.77,11728975.71,13292948.07,12385321.61,20650248.36,9037312.042
C04858,10215434.05,10014096.97,6540081.582,3842257.728,5734088.494,3444461.635
C01737,43572.02293,122607.1653,118137.2812,145201.7893,97585.12994,210115.9925
C10501,322629.2312,422159.8533,449763.5655,449780.4847,549697.9699,424287.8929
C00490,59893640.45,62551638.15,99533507.89,81762481.67,99623414.01,102941014.3
C08434,759327.3055,298157.1157,279105.9786,372586.8183,391932.072,309245.9117
C00418,4425867.803,5442300.507,4802936.381,5129931.117,5207071.27,4844628.128
C00628,1076367.911,844848.1598,1050633.198,910257.1854,921829.9525,888380.2192
C03761,8182113.991,6046230.166,4457067.316,6167061.873,4640591.423,6311241.318
C20343,1895916.346,3229812.3,1870997.081,2426509.257,1713241.805,2195505.7
C16361,3531420.596,3033440.442,2641758.669,2451617.972,2999934.279,2007484.894
C00880,48951410.87,38713384.33,38575362.42,39271526.54,45652302.99,42190538.91
C00620,13829793,14160448.41,10774204.09,12482378.54,10175829.03,12744664.49
C19453,354762.1419,32066.42785,162788.4054,6532.226212,66428.98754,53031.07764
C01716,2319421.598,3831704.557,1604257.36,2364786.195,1893144.306,1872836.895
D07784,252411.5863,255321.9619,218663.009,206770.3274,197288.698,180083.1437
C18502,127472.6583,322691.9674,115442.3878,132894.2619,162973.4675,123260.2203
D00441,1000302.497,2244750.23,739126.7377,1315237.893,776123.7437,688572.1506
C16754,1539330.86,1436270.044,995153.5873,869912.5424,1100994.034,1192814.984
C14350,710728.2334,848379.7103,848464.7543,791213.5183,896661.8426,707917.6769
C10682,988728.7552,721796.4909,1102952.57,1369398.994,788833.0976,1129513.337
C18615,166315.7205,141678.1339,137510.9781,200020.7588,159784.7884,167105.1525
C10952,3435355.107,4058084.185,4555832.235,3572782.826,4218843.448,3207483.334
C10067,23110.25534,188983.718,208722.5695,195754.8281,67125.06358,302895.7114
C10474,1508089.491,2110284.433,1691971.307,2129120.894,1352998.345,1399891.098
C07259,1085171.441,6721603.65,5494678.41,6919284.535,3880741.253,4291778.792
C01443,273600.5737,718653.2974,648814.6562,687885.7126,926093.7808,191310.2432
C00758,4242247.076,6077736.687,3135615.536,4283519.868,4041773.382,4210019.476
C06562,2910101.2,1884036.128,1863215.905,1796913.196,1814420.903,1888239.481
C16985,1029586.587,996996.2761,1048633.394,1191039.336,1445584.763,1097277.028
C09187,6619881.175,5556308.253,4952700.724,10139735.91,7491399.635,7092229.931
C09279,90080410.59,111937683.9,92273953.42,127975001.8,88846552.18,76454549.05
C10316,8642197.487,9858655.586,10658489.31,13205096.04,10870117.31,11339228
C10288,13184743.45,18795995.8,21504721.29,20062398.46,19825217.11,17427257.6
C10025,1252289.902,861460.1537,1022866.835,977416.2393,783272.5583,776066.6331
C16915,242726.8511,171726.6091,390873.9891,607171.1466,181209.9123,473542.4937
