Gene ID,Accesion,Control-1,Control-2,Control-3,S7-1,S7-2,S7-3
AT3G09270,Q9SR36,650.3892414,781.8113109,703.8184653,890.0682792,849.5985505,757.8377287
AT3G09670,Q9SF36,189.14381,165.8069626,204.0209968,210.7466454,232.3829207,223.090048
AT3G09970,Q9SR62,897.0504674,971.75473,820.4018921,707.3464536,899.0417251,807.1347805
AT3G10020,Q9SR67,1038.631799,1503.806186,1042.773984,1345.191354,1318.484656,1278.381174
AT3G10260,Q9SS37,949.0373625,1045.213511,954.2569376,1026.8294,848.7744976,892.3601921
AT3G10520,O24521,4761.778375,4928.034786,4300.633076,4452.583381,4565.253123,4915.500946
AT3G10720,Q94CB1,942.4007376,864.7147922,967.2106517,872.1323944,894.0974076,835.543251
AT3G11340,Q9C768,264.3588924,300.1315905,269.8690434,469.6959811,488.6633758,465.3975908
AT3G11750,Q9SF23,122.7775609,208.83282,166.2393308,196.1737391,190.3562223,204.7080965
AT3G11930,F4J8J7,1153.666631,1271.886321,1248.953933,1405.724965,1393.473471,1404.548205
AT3G12110,P53496,1053.011153,997.9900089,918.6342239,927.0610414,1016.057238,973.4078874
AT3G12580,Q9LHA8,1465.588002,1612.944946,1393.60374,1377.700145,1428.907746,1360.264413
AT3G13224,Q8W4A6,490.0041394,416.6162288,451.2210406,452.8810891,463.1177356,445.3445528
AT3G13610,Q9LHN8,284.2687671,281.2421897,348.6708041,477.5429306,436.7480424,441.1668365
AT3G13920,A8MRZ7,25641.70645,24554.12222,25977.59412,33391.01238,33838.90871,32231.91645
AT3G14940,Q84VW9,1804.055872,1409.359182,1821.076305,1813.766342,1784.074551,1655.21118
AT3G14990,Q9FPF0,4535.027024,5430.70273,4783.158926,5554.519299,5505.497493,5358.338869
AT3G15352,A0A1I9LSX2,220.1147263,399.8256503,290.3790907,335.1768457,300.7793122,348.4215357
AT3G15500,Q9LDY8,53.0929993,46.17409084,29.14585669,42.59772621,26.36969313,34.25727329
AT3G15590,Q9LRP6,911.4298213,994.8417755,954.2569376,1106.419889,1066.324466,1148.036427
AT3G16460,O04310,5604.629739,4462.096233,5615.435056,4920.037377,4916.299663,4959.784738
AT3G16570,Q9LUS7,1944.531099,2013.820007,1971.123493,1965.100369,2015.633418,2001.961629
AT3G16857,Q940D0,866.0795511,755.576032,794.4944639,752.1861654,864.4315029,853.0896593
AT3G17609,A8MS70,87.38222802,105.9905267,82.04018921,124.4302002,147.5054709,101.9362766
AT3G18410,Q94C12,3260.79504,6143.252905,4413.978075,4893.13355,4552.068276,4730.845887
AT3G19010,Q9LJ65,581.810784,647.486683,517.0690872,637.8449003,656.7701695,672.6123171
AT3G19820,Q39085,13330.76724,13199.49351,13277.55694,14359.9177,14317.91932,14389.72587
AT3G22060,Q9LRJ9,202.4170598,188.894008,165.1598546,245.4974221,204.3651217,195.5171207
AT3G22270,F4J077,745.5141985,575.0773132,759.9512263,805.9938195,882.5606669,807.9703237
AT3G22370,Q39219,986.6449037,1183.735783,1046.012412,808.2358051,765.5451536,824.6811888
AT3G23540,A0A1I9LT44,699.0578241,599.2137698,642.2883234,642.3288715,602.3826774,668.4346008
AT3G23820,Q9LIS3,6000.615025,4878.712462,5471.864725,6175.549307,5868.904827,5842.953954
AT3G24830,Q9LRX8,22175.17604,28409.6588,23203.34036,28497.87883,27885.95048,28687.54198
AT3G26030,Q9ZQY6,1573.986208,1272.935732,1571.717309,1567.147927,1552.515683,1671.922045
AT3G27390,Q8GUM4,2191.192325,1673.810793,2008.905159,1926.986614,1780.778339,1903.367526
